stock_id,exp_id,fragB_smiles,oligomer_smiles
SP175,AM01,O=c1[nH]c2c(Br)ccc(Br)c2[nH]1,CC1(C)c2ccccc2-c2ccc(-c3ccc(-c4ccc5c(c4)C(C)(C)c4ccccc4-5)c4[nH]c(=O)[nH]c34)cc21
SP176,N15,Brc1cnc2c(ccc3cc(Br)cnc32)c1,CC1(C)c2ccccc2-c2ccc(-c3cnc4c(ccc5cc(-c6ccc7c(c6)C(C)(C)c6ccccc6-7)cnc54)c3)cc21
SP177,N10,Brc1ncc(Br)n2ccnc12,CC1(C)c2ccccc2-c2ccc(-c3ncc(-c4ccc5c(c4)C(C)(C)c4ccccc4-5)n4ccnc34)cc21
SP178,N08,Brc1cnc(Br)c2[nH]ccc12,CC1(C)c2ccccc2-c2ccc(-c3cnc(-c4ccc5c(c4)C(C)(C)c4ccccc4-5)c4[nH]ccc34)cc21
SP179,X04,Brc1ccc(Br)c2scnc12,CC1(C)c2ccccc2-c2ccc(-c3ccc(-c4ccc5c(c4)C(C)(C)c4ccccc4-5)c4scnc34)cc21
SP180,X07,O=S1(=O)c2cc(Br)ccc2-c2ccc(Br)cc21,CC1(C)c2ccccc2-c2ccc(-c3ccc4c(c3)S(=O)(=O)c3cc(-c5ccc6c(c5)C(C)(C)c5ccccc5-6)ccc3-4)cc21
SP181,N09,Brc1ccc(Br)c2[nH]ncc12,CC1(C)c2ccccc2-c2ccc(-c3ccc(-c4ccc5c(c4)C(C)(C)c4ccccc4-5)c4[nH]ncc34)cc21
SP182,,Nc1nc2c(Br)ccc(Br)c2s1,CC1(C)c2ccccc2-c2ccc(-c3ccc(-c4ccc5c(c4)C(C)(C)c4ccccc4-5)c4sc(N)nc34)cc21
SP183,,NNc1nc2c(Br)ccc(Br)c2s1,CC1(C)c2ccccc2-c2ccc(-c3ccc(-c4ccc5c(c4)C(C)(C)c4ccccc4-5)c4sc(NN)nc34)cc21
SP184,N14,Brc1cnc(Br)c2ncccc12,CC1(C)c2ccccc2-c2ccc(-c3cnc(-c4ccc5c(c4)C(C)(C)c4ccccc4-5)c4ncccc34)cc21
SP185,,Cc1nc2c(Br)ccc(Br)c2s1,Cc1nc2c(-c3ccc4c(c3)C(C)(C)c3ccccc3-4)ccc(-c3ccc4c(c3)C(C)(C)c3ccccc3-4)c2s1
SP186,,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(Br)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(Br)sc2-4)cc1,Cc1ccc(C2(c3ccc(C)cc3)c3cc4c(cc3-c3sc(-c5ccc6c(c5)C(C)(C)c5ccccc5-6)cc32)C(c2ccc(C)cc2)(c2ccc(C)cc2)c2cc(-c3ccc5c(c3)C(C)(C)c3ccccc3-5)sc2-4)cc1
SP187,,Brc1ccc(Br)c2c1CCCN2,CC1(C)c2ccccc2-c2ccc(-c3ccc(-c4ccc5c(c4)C(C)(C)c4ccccc4-5)c4c3CCCN4)cc21
SP188,,Brc1ccc2c(c1)C1(CCOCC1)c1cc(Br)ccc1-2,CC1(C)c2ccccc2-c2ccc(-c3ccc4c(c3)C3(CCOCC3)c3cc(-c5ccc6c(c5)C(C)(C)c5ccccc5-6)ccc3-4)cc21
SP189,AM03,CCCCC(CC)CN1C(=O)C2=C(c3ccc(Br)s3)N(CC(CC)CCCC)C(=O)C2=C1c1ccc(Br)s1,CC(C)CN1C(=O)C2=C(c3ccc(-c4ccc5c(c4)C(C)(C)c4ccccc4-5)s3)N(CC(C)C)C(=O)C2=C1c1ccc(-c2ccc3c(c2)C(C)(C)c2ccccc2-3)s1
SP190,,Brc1ccc(-c2nnc(-c3ccc(Br)cc3)nn2)cc1,CC1(C)c2ccccc2-c2ccc(-c3ccc(-c4nnc(-c5ccc(-c6ccc7c(c6)C(C)(C)c6ccccc6-7)cc5)nn4)cc3)cc21
SP191,S04,Brc1cc2sc3cc(Br)sc3c2s1,CC1(C)c2ccccc2-c2ccc(-c3cc4sc5cc(-c6ccc7c(c6)C(C)(C)c6ccccc6-7)sc5c4s3)cc21
SP194,,Brc1ccc2c3ccc(Br)cc3n(-c3ccccc3)c2c1,CC1(C)c2ccccc2-c2ccc(-c3ccc4c5ccc(-c6ccc7c(c6)C(C)(C)c6ccccc6-7)cc5n(-c5ccccc5)c4c3)cc21
SP195,,O=C1OC(=O)c2c(Br)sc(Br)c21,CC1(C)c2ccccc2-c2ccc(-c3sc(-c4ccc5c(c4)C(C)(C)c4ccccc4-5)c4c3C(=O)OC4=O)cc21
SP196,BD14,Fc1c(F)c(-c2ccc(Br)s2)c2nsnc2c1-c1ccc(Br)s1,CC1(C)c2ccccc2-c2ccc(-c3ccc(-c4c(F)c(F)c(-c5ccc(-c6ccc7c(c6)C(C)(C)c6ccccc6-7)s5)c5nsnc45)s3)cc21
SP197,,Brc1ccc2c3ccc(Br)cc3n(Cc3ccccc3)c2c1,CC1(C)c2ccccc2-c2ccc(-c3ccc4c5ccc(-c6ccc7c(c6)C(C)(C)c6ccccc6-7)cc5n(Cc5ccccc5)c4c3)cc21
SP198,,O=C1N=C(c2ccc(Br)s2)c2c(O)[nH]c(-c3ccc(Br)s3)c21,CC1(C)c2ccccc2-c2ccc(-c3ccc(C4=NC(=O)c5c(-c6ccc(-c7ccc8c(c7)C(C)(C)c7ccccc7-8)s6)[nH]c(O)c54)s3)cc21
SP199,,Brc1ccc(-c2nnc(-c3ccc(Br)cc3)o2)cc1,CC1(C)c2ccccc2-c2ccc(-c3ccc(-c4nnc(-c5ccc(-c6ccc7c(c6)C(C)(C)c6ccccc6-7)cc5)o4)cc3)cc21
SP200,,Nc1c(Br)cnc(Br)c1N,CC1(C)c2ccccc2-c2ccc(-c3cnc(-c4ccc5c(c4)C(C)(C)c4ccccc4-5)c(N)c3N)cc21
SP201,,CCCCC(CC)Cc1sc(CC(CC)CCCC)c2c1C(=O)c1c(-c3ccc(Br)s3)sc(-c3ccc(Br)s3)c1C2=O,CC(C)Cc1sc(CC(C)C)c2c1C(=O)c1c(-c3ccc(-c4ccc5c(c4)C(C)(C)c4ccccc4-5)s3)sc(-c3ccc(-c4ccc5c(c4)C(C)(C)c4ccccc4-5)s3)c1C2=O
